	original_question	original_answer	translated_question	translated_answer	percent_replaced	spanish_vocab	category

2219	Qué does Ancho bantú ¿significar?	un suelto definido Categorización que incluye a otros Lenguas banoides	What does Wide Bantu mean?	a loosely defined categorization which includes other Bantoid languages	100.0	['incluye', 'a', 'otros', 'categorización', 'un', 'que', 'definido', 'suelto', 'lenguas', 'banoides']	2

2220	What military branch is based there?	United Estados Navy	What military branch is based there?	United States Navy	33.33	['estados']	0

2221	Quien está el lado are we on?	of el rebeldes	who's side are we on?	of the rebels	66.67	['el', 'rebeldes']	1

2222	De donde finalmente vinieron a través de algunos evidence?	los recintos de el village	Where did they finally come across some evidence?	the precincts of the village	80.0	['recintos', 'de', 'los', 'el']	2

2223	how far does he travel ahead?	10,000 years en the future	how far does he travel ahead?	10,000 years into the future	20.0	['en']	0

2224	Who suggested a postmodern estilo de pintura?	John Watkins Chapman	Who suggested a postmodern style of painting?	John Watkins Chapman	66.67	['chapman', 'john']	1

2225	¿Qué estaban intentando? a ¿hacer?	a llegar al otro lado of the cobertura.	What were they trying to do?	to get to the other side of the hedge.	77.78	['otro', 'llegar', 'cobertura', 'al', 'a', 'lado']	2

2226	What is el conservation ethic based on?	the findings de conservation biology	What is the conservation ethic based on?	the findings of conservation biology	20.0	['de']	0

2227	En que century?	Siglo III BC	In what century?	3rd century BC	66.67	['iii', 'siglo']	1

2228	cuando Metlroy plan a visit?	just días antes de la temporada Segunda camiseta mayor.	when did Mcllroy plan to visit?	just days before the season's second major tees off.	88.89	['camiseta', 'días', 'segunda', 'mayor', 'antes', 'la', 'de', 'temporada']	2

2229	What was it?	"""Get out of here, every one of you, unless quieres to be hammered to death."""	What was it?	"""Get out of here, every one of you, unless you want to be hammered to death."""	12.5	['quieres']	0

2230	Quien hizo she dance for?	the Ballet de Nueva York Performance and Letras Company	Who did she dance for?	the New York Ballet Performance and Arts Company	50.0	['letras', 'de', 'nueva', 'ballet', 'york']	1

2231	Qué ¿Ayala?	Arreglos hechos a take su	What of Ayala?	Arrangements made to take her	80.0	['a', 'hechos', 'su', 'arreglos']	2

2232	What's an older's parent biggest, and often unspoken terror?	Muriendo and leaving young children	What's an older's parent biggest, and often unspoken terror?	Dying and leaving young children	20.0	['muriendo']	0

2233	When ¿Borda? at a scholarly ¿instituto?	When él era fourteen	When did he board at a scholarly institute?	When he was fourteen	50.0	['era', 'él']	1

2234	Qué Isla hace Viaja ¿a?	la isla de Misfit Juguetes	What Island does he travel to?	the Island of Misfit Toys	80.0	['la', 'isla', 'de', 'juguetes']	2

2235	What hizo Gertie say next?	Do you pensar so?	What did Gertie say next?	Do you think so?	25.0	['pensar']	0

2236	How muchos medios files son on there?	over 41 millón	How many media files are on there?	over 41 million	66.67	['41', 'millón']	1

2237	qué lado del río ¿Encontraron algunos de his ¿pertenencias?	el lado de las reinas	what side of the river did they find some of his belongings?	the Queens side	100.0	['las', 'lado', 'de', 'el', 'reinas']	2

2238	Was allá any reason for the arrest?	"acting ""contrary to the purpose of tourism."""	Was there any reason for the arrest?	"acting ""contrary to the purpose of tourism."""	0.0	[]	0

2239	Where tenía he ¿escogido?	A cerca de the banks of La Tugela.	Where had he picked?	A plain near the banks of the Tugela.	62.5	['la', 'a', 'cerca', 'tugela', 'de']	1

2240	Hacer qué?	para derogar la pena de muerte	To do what?	to repeal the death penalty	100.0	['para', 'derogar', 'pena', 'la', 'de', 'muerte']	2

2241	was her husband surprised?	not as much as herself	was her husband surprised?	not as much as herself	0.0	[]	0

2242	¿cuáles son? they?	bright luces and people's voces	what are they?	bright lights and people's voices	40.0	['luces', 'voces']	1

2243	Qué ¿El actor lo está interpretando?	Cuba Gooding Jr.	What actor is playing him?	Cuba Gooding Jr.	100.0	['jr', 'gooding', 'cuba']	2

2244	Where era Jude driving with his fiance?	toward a suburban intersection	Where was Jude driving with his fiance?	toward a suburban intersection	25.0	['a']	0

2245	Que hizo Pablo hacer last Friday?	gastado the weekend on un isla	what did Paul do last Friday?	spent the weekend on an island	50.0	['gastado', 'isla', 'un']	1

2246	Pero what hizo Ella hace eso pensó que ella había licenciado a ¿hacer?	Ella había coquetado ligeramente con him	But what did she do that she thought she had licensed to do?	She had mildly flirted with him	83.33	['ligeramente', 'había', 'con', 'coquetado', 'ella']	2

2247	how many of Estos equipos advanced?	Top two teams in each grupo.	how many of these teams advanced?	Top two teams in each group.	16.67	['grupo']	0

2248	qué hizo he claim?	Paao era from Samoa	what did he claim?	Paao was from Samoa	50.0	['era', 'paao']	1

2249	Que esta not quiero a su hijo to ¿hacer?	A start Juzgando a otros niños por el cantidad de dinero o bolsillo dinero they tener.	What does he not want his child to do?	To start judging other children by the amount of money or pocket money they have.	86.67	['tener', 'bolsillo', 'por', 'a', 'otros', 'o', 'de', 'juzgando', 'el', 'dinero', 'cantidad', 'niños']	2

2250	what does Charles Lanman do for a living?	author, journalist, and anterior secretary to Daniel Webster	what does Charles Lanman do for a living?	author, journalist, and former secretary to Daniel Webster	25.0	['webster', 'anterior']	0

2251	What was ¿Ella ofreció?	The amar de a cultured hombre	What was she offered?	The love of a cultured man	50.0	['amar', 'hombre', 'de']	1

2252	Qué pasó with the Maronitas durante las cruzadas?	restablecieron el contacto con el Roman Iglesia católica	What happened with the Maronites during the Crusades?	they re-established contact with the Roman Catholic Church	87.5	['con', 'católica', 'iglesia', 'el', 'contacto', 'restablecieron']	2

2253	Who is he?	Ambassador Robert Rey	Who is he?	Ambassador Robert King	33.33	['rey']	0

2254	and por qué era he eager?	Today was programa y tell	and why was he eager?	Today was show and tell	40.0	['y', 'programa']	1

2255	acerca de cómo mucha gente live on el lado europeo?	alrededor de dos tercios	about how many people live on the european side?	about two thirds	100.0	['alrededor', 'tercios', 'dos', 'de']	2

2256	Who is Ally?	the family's eldest daughter	Who is Ally?	the family's eldest daughter	0.0	[]	0

2257	Qué did they want to highlight Al hacer esto movie?	attempt to mostrar el daño in harm's way	What did they want to highlight in making this movie?	attempt to show the harm in harm's way	37.5	['mostrar', 'daño', 'el']	1

2258	Qué hizo él hacer después ¿eso?	Viajó a Gran Bretaña para aprender su methods pero Se negaron a compartir.	What did he do after that?	He traveled to Britain to learn their methods but they refused to share.	92.31	['para', 'bretaña', 'aprender', 'su', 'viajó', 'a', 'se', 'gran', 'negaron', 'compartir', 'pero']	2

2259	Qué was the first caliphate?	the Rashidun Caliphate	What was the first caliphate?	the Rashidun Caliphate	0.0	[]	0

2260	Quien hizo they find?	el Celebridad man superintending	Who did they find?	the Celebrity's man superintending	50.0	['celebridad', 'el']	1

2261	¿Y el segundo más grande?	T prensa universitaria en el mundo	and 2nd biggest?	t university press in the world	100.0	['t', 'universitaria', 'el', 'prensa', 'en', 'mundo']	2

2262	Qué era one of the things that irritated him?	sleeping in the open air	What was one of the things that irritated him?	sleeping in the open air	0.0	[]	0

2263	Where did ellos ¿ir?	followed el coast línea	Where did they go?	followed the coast line	50.0	['línea', 'el']	1

2264	Cuando fue ¿él?	el noche antes	When was it?	the night before	100.0	['antes', 'el', 'noche']	2

2265	WHAT HAPPENED EN THAT RACE?	él and Vettel famously crashed	WHAT HAPPENED IN THAT RACE?	he and Vettel famously crashed	20.0	['él']	0

2266	Que eran the Dos hombres in question?	Hafiz Kan and Izhar Kan	Who were the two men in question?	Hafiz Khan and Izhar Khan	40.0	['kan']	1

2267	En vida real quien era Tomás ¿Aserrador?	Mark Twain's amigo.	In real life who was Tom Sawyer?	Mark Twain's friend.	100.0	['amigo', 'twains', 'mark']	2

2268	What is su fear?	He will kill himself soon.	What is her fear?	He will kill himself soon.	0.0	[]	0

2269	What does mucho research point ¿a?	the cerebro no puedo cope	What does all the research point to?	the brain cannot cope	50.0	['puedo', 'no', 'cerebro']	1

2270	Que ellos do?	oído casos before el Corte	What do they do?	hears cases before the Court	80.0	['oído', 'casos', 'corte', 'el']	2

2271	Qué do Cecil and Forrest do?	Shooting and fishing y motoring	What do Cecil and Forrest do?	Shooting and fishing and motoring	20.0	['y']	0

2272	Cómo many nuevas plantas son there plans a ¿abierto?	Según la Autoridad del Agua de Beijing, the capital will colocar up 46 more reciclado water plants	How many new plants are there plans to open?	According to the Beijing Water Authority, the capital will set up 46 more recycled water plants	50.0	['la', 'colocar', 'del', 'según', 'beijing', 'autoridad', 'agua', 'de', 'reciclado']	1

2273	Dónde ¿Está ubicado en Manchester?	Mayor que Manchester, Inglaterra,	Where is Manchester located?	Greater Manchester, England,	100.0	['manchester', 'inglaterra', 'mayor', 'que']	2

2274	Qué es one way it is defined?	a cultural entity	What is one way it is defined?	a cultural entity	33.33	['cultural']	0

2275	What did Jeremie do después de escuchar the noises?	saltó de la cama, sosteniendo un teléfono and a flash, and went towards the noise	What did Jeremie do after hearing the noises?	jumped out of bed, holding a phone and a flashlight, and went towards the noise	53.33	['sosteniendo', 'saltó', 'la', 'teléfono', 'flash', 'cama', 'un', 'de']	1

2276	¿Qué hizo Cindy? do?	llamado su mamá	what did Cindy do?	called her mom	100.0	['mamá', 'su', 'llamado']	2

2277	What happened while ella was eating?	she consiguió a phone call	What happened while she was eating?	she got a phone call	20.0	['consiguió']	0

2278	Qué were el words?	I Olvida tu name	What were the words?	I forget your name	50.0	['olvida', 'tu']	1

2279	¿Qué islas con el mismo nombre que es un pájaro? off it?	él Canario Islas	What islands with the same name as a bird is off it?	he Canary Islands	100.0	['canario', 'islas', 'él']	2

2280	Who posted on ¿Facebook?	Alvaro Eduardo Guzman-Telles	Who posted on Facebook?	Alvaro Eduardo Guzman-Telles	0.0	[]	0

2281	Cuando hizo he leave?	Cuando él was 15	When did he leave?	When he was 15	50.0	['cuando', 'él']	1

2282	Lo que requiere a diferente conjunto de habilidades que hombres de negocios?	haciendo bien en Washington	What requires a different set of skills than businessmen?	doing well in Washington	100.0	['haciendo', 'bien', 'washington', 'en']	2

2283	WHERE WAS THE PISTOL FOUND?	His tour bus	WHERE WAS THE PISTOL FOUND?	His tour bus	0.0	[]	0

2284	What hizo todos do?	They clapped para ella.	What did everyone do?	They clapped for her.	50.0	['para', 'ella']	1

2285	¿Qué hizo Earl? ir con Alentar a ¿seguro?	extra alojamiento en el hotel	What did Earl go with Foster to secure?	extra accommodations at the hotel	80.0	['en', 'alojamiento', 'hotel', 'el']	2

2286	What was his name?	Monsieur le Barón	What was his name?	Monsieur le Baron	33.33	['barón']	0

2287	what main Las áreas se componen ¿Oceanía?	Melanesia, Micronesia, Polinesia y Australasia	what main areas make up Oceania?	Melanesia, Micronesia, Polynesia and Australasia	40.0	['y', 'polinesia']	1

2288	What hace él ¿hacer?	He es un escritor	What does he do?	He is a writer	75.0	['es', 'escritor', 'un']	2

2289	What was he doing there?	gazing somewhat moodily	What was he doing there?	gazing somewhat moodily	0.0	[]	0

2290	What es one de sus objetivos	reconstrucción the pago internacional system	What is one of its goals	reconstructing the international payment system	60.0	['reconstrucción', 'pago', 'internacional']	1

2291	Por qué él detener por Greshamsbury?	para ver Dama Arabella	Why did he stop by Greshamsbury?	to see Lady Arabella	100.0	['para', 'dama', 'arabella', 'ver']	2

2292	what building was from the fifteenth century?	Palacio of Placentia	what building was from the fifteenth century?	Palace of Placentia	33.33	['palacio']	0

2293	¿A qué se llama a veces? because of his restoration ¿actividades?	el último Roman	What is he sometimes called because of his restoration activities?	the last Roman	66.67	['último', 'el']	1

2294	Por qué es compresión útil?	él ayuda reducir recurso uso	Why is compression Useful?	it helps reduce resource usage	100.0	['recurso', 'él', 'reducir', 'ayuda', 'uso']	2

2295	What hace el article say about su Obama;s charm?	Probably the first person ever to be awarded the Nobel Peace Prize largely for su charm	What does the article say about his Obama;s charm?	Probably the first person ever to be awarded the Nobel Peace Prize largely for his charm	6.25	['su']	0

2296	What causó su downfall?	defeat en World Guerra I	What caused its downfall?	defeat in World War I	60.0	['en', 'guerra', 'i']	1

2297	Que had Freed Bembo solo Antes de esto ¿sucedió?	Remojar y el mayordomo	who had freed Bembo just before this happened?	Dunk and the steward	100.0	['remojar', 'mayordomo', 'y', 'el']	2

2298	What was his ¿solución?	to correr faster than the other lion's	What was his solution?	to run faster than the other lion's	14.29	['correr']	0

2299	who hizo he play en la película?	el chico wizard	who did he play in the movie?	the boy wizard	66.67	['chico', 'el']	1

2300	Que tipo de publicación es ¿él?	an de licenciatura diario para political ciencia investigación	What type of publication is it?	an undergraduate journal for political science research	71.43	['para', 'licenciatura', 'investigación', 'ciencia', 'de', 'diario']	2

2301	What era the date?	August el nineteenth	What was the date?	August the nineteenth	33.33	['el']	0

2302	¿Qué era Abdullahs? goal until el end?	to leave an impronta indeleble en el throne	what was Abdullahs goal until the end?	to leave an indelible imprint on the throne	50.0	['impronta', 'en', 'indeleble', 'el']	1

2303	A cambio de what?	For las gracias de la filosofía y poesía.	In exchange for what?	For the graces of philosophy and poetry.	85.71	['la', 'las', 'poesía', 'de', 'filosofía', 'y', 'gracias']	2

2304	who is alive and well ?	Sono Domenico Quirico	who is alive and well ?	Sono Domenico Quirico	33.33	['domenico']	0

2305	What kind de la bolsa hizo he have?	a Controfantil bolsa	What kind of bag did he have?	a Gladstone bag	66.67	['bolsa', 'controfantil']	1

2306	what era va a hacer si el intruso despertó su ¿padres?	"ana yo como no te despertaste my parents arriba "", dijo Robert."" O te llevaré a la estación de policía"	what was he going to do if the intruder woke his parents?	"ell me how you didn't wake my parents up,"" said Robert. ""Or I'll take you to the police station"	89.47	['como', 'te', 'no', 'la', 'estación', 'yo', 'a', 'despertaste', 'policía', 'robert', 'llevaré', 'arriba', 'de', 'o', 'dijo', 'ana']	2

2307	What was done in the '30s?	Work on the structure of stars	What was done in the '30s?	Work on the structure of stars	0.0	[]	0

2308	Qué tendrían to do?	Aprender nadar like a pez	What would they have to do?	Learn to swim like a fish	66.67	['aprender', 'nadar', 'pez']	1

2309	Qué son su ¿características?	plumas, pico sin dientes fauces,	What are their characteristics?	feathers, toothless beaked jaws,	100.0	['pico', 'plumas', 'dientes', 'fauces', 'sin']	2

2310	What did that prove after the previous year?	that she is back	What did that prove after the previous year?	that she is back	0.0	[]	0

2311	Qué es an open ¿asiento?	A race sin incumbent	What is an open seat?	A race without an incumbent	60.0	['sin', 'a']	1

2312	Who lo dio a ¿a él?	a sándwich comercio dueño	Who gave it to him?	a sandwich shop owner	100.0	['dueño', 'a', 'comercio', 'sándwich']	2

2313	and so Que hizo el do to after he was laughed at?	él pushed a él and then cried	and so what did he do to after he was laughed at?	he pushed him and then cried	33.33	['él', 'a']	0

2314	what did ¿El niño lo hace?	it comenzó llanto	what did the child do?	it started crying	66.67	['comenzó', 'llanto']	1

2315	Que hizo un niño preguntar ¿Palanqueta?	"""Where hace ¿Tu papá trabaja? """	what did a boy ask Jimmy?	"""Where does your dad work?"""	80.0	['hace', 'papá', 'trabaja', 'tu']	2

2316	In qué country?	People's Republic of Porcelana	In what country?	People's Republic of China	25.0	['porcelana']	0

2317	Qué es that?	a elemento químico	What is that?	a chemical element	66.67	['químico', 'elemento']	1

2318	Qué lo hizo?	"said, ""Esta chica no es adecuada para ti two."	What did he do?	"said, ""This girl is not suitable for you two."	77.78	['para', 'no', 'adecuada', 'esta', 'ti', 'chica', 'es']	2

2319	What did Él promete to do?	stop funding to the Public Servicio de transmisión,	What did he promise to do?	stop funding to the Public Broadcasting Service,	28.57	['transmisión', 'de', 'servicio']	0

2320	quien era wearing delgado clothes?	Dave y Phil	who was wearing thin clothes?	Dave and Phil	66.67	['y', 'phil']	1

2321	¿Dónde está Caryn Ruiz? from?	Raleigh, Carolina del Norte	Where is Caryn Ruiz from?	Raleigh, North Carolina	100.0	['raleigh', 'del', 'carolina', 'norte']	2

2322	what is that compsed of?	Lima and Callao	what is that compsed of?	Lima and Callao	0.0	[]	0

2323	What was it Kate realized Sobre la mudanza a ¿Un nuevo país?	That there were hundreds de desconocido y cosas inusuales para learn - all en the same tiempo	What was it Kate realized about moving to a new country?	That there were hundreds of unfamiliar and unusual things to learn - all at the same time	47.06	['para', 'cosas', 'tiempo', 'desconocido', 'de', 'y', 'en', 'inusuales']	1

2324	Que era Quinn hablando ¿a?	Barker y Lambert	who was Quinn talking to?	Barker and Lambert	100.0	['y', 'lambert', 'barker']	2

2325	What lo haría visit a at least once a week?	The shell of the house	What would he visit a at least once a week?	The shell of the house	0.0	[]	0

2326	Who preguntó about how largo Su empleo will be?	the primero compañero	Who asked about how long his employment will be?	the first mate	66.67	['compañero', 'primero']	1

2327	Where ¿Chocaron?	en el callejón	Where did they collide?	in the alley	100.0	['callejón', 'en', 'el']	2

2328	For what purpose?	to finance the Pakistani Taliban	For what purpose?	to finance the Pakistani Taliban	20.0	['taliban']	0

2329	What artículos descritos el trabajo responsibilities?	Articles 98 hasta 100	What articles describle the job responsibilities?	Articles 98 through 100	50.0	['98', 'hasta']	1

2330	cómo muchos inpacts el the dinastía tener ?	político, cultural y militar impacto	how many inpacts the the dynasty have ?	political, cultural and military impact	100.0	['impacto', 'cultural', 'político', 'y', 'militar']	2

2331	Who started a drive-in business?	Impermeable and Dick McDonald	Who started a drive-in business?	Mac and Dick McDonald	25.0	['impermeable']	0

2332	What ¿Era called?	Quantum de Consuelo	What was it called?	Quantum of Solace	66.67	['consuelo', 'de']	1

2333	qué ¿Están preocupados por?	literario and social tradiciones,	what are these concerned with?	literary and social traditions,	75.0	['tradiciones', 'literario', 'social']	2

2334	What has Corea del Norte said about failed past launches?	Insisted launches have been exitoso.	What has North Korea said about failed past launches?	Insisted launches have been successful.	20.0	['exitoso']	0

2335	Dónde are mayoría of the equipos located?	todo but a puñado de NASCAR Los equipos aún se basan in North Carolina, especially near la ciudad of Charlotte.	Where are most of the teams located?	all but a handful of NASCAR teams are still based in North Carolina, especially near the city of Charlotte.	47.37	['la', 'basan', 'equipos', 'los', 'se', 'todo', 'puñado', 'de', 'ciudad', 'aún']	1

2336	donde tenía the hombre Se fue después de que se separaron ways?	en dirección a el railroad station	where had the man gone after they parted ways?	in the direction of the railroad station	71.43	['en', 'a', 'dirección', 'el']	2

2337	Qué does he see?	a young man	What does he see?	a young man	33.33	['a']	0

2338	how él era murdered?	he fue disparado	how was he murdered?	he was shot	66.67	['fue', 'disparado']	1

2339	What hace ella lo hace?	Inglés professor y director de Programa de Estudios Americanos.	What does she do?	English professor and director of American Studies Program.	87.5	['programa', 'americanos', 'inglés', 'estudios', 'de', 'y', 'director']	2

2340	What was the name of it?	the Casa Gherardesca	What was the name of it?	the Casa Gherardesca	0.0	[]	0

2341	what were ellos relacionado con?	asuntos in the Medio East, Pakistán, Afganistán y Somalia.	what were they related to?	issues in the Middle East, Pakistan, Afghanistan and Somalia.	66.67	['pakistán', 'somalia', 'afganistán', 'medio', 'asuntos', 'y']	1

2342	Era alguien demás ¿herir?	A tercero persona	Was anyone else hurt?	A third person	100.0	['tercero', 'persona', 'a']	2

2343	what is Kayani known ¿como?	the most powerful man en Pakistan	what is Kayani known as?	the most powerful man in Pakistan	16.67	['en']	0

2344	where hace él reside?	his rojo box	where does he reside?	his big red box	50.0	['rojo']	1

2345	Que es ¿él?	Sur Líder africano.	Who is he?	South African leader.	100.0	['líder', 'sur', 'africano']	2

2346	Por qué did he create this order?	reward to commend civilians and soldiers	Why did he create this order?	reward to commend civilians and soldiers	0.0	[]	0

2347	What eran todo baptized Cristianos ¿consideró?	a Santo Sacerdocio	What were all baptized Christians considered?	a holy priesthood	66.67	['sacerdocio', 'santo']	1

2348	dónde son su restaurantes ¿situado?	Rhode Island en América.	where are his restaurants located?	Rhode Island in America.	100.0	['américa', 'rhode', 'en', 'island']	2

2349	how many miembros of the UN were a part of this?	48 voted en favor	how many members of the UN were a part of this?	48 voted in favor	25.0	['en']	0

2350	Dónde era el apartment located where they ¿vivido?	en el city	Where was the apartment located where they lived?	in the city	66.67	['en', 'el']	1

2351	Que hizo ¿Cindy menciona?	Allison's cumpleaños fiesta	What did Cindy bring up?	Allison's birthday party	100.0	['cumpleaños', 'fiesta', 'allisons']	2

2352	What would he rather do?	run like a madman banging gongs and speaking in tongues	What would he rather do?	run like a madman banging gongs and speaking in tongues	0.0	[]	0

2353	enumerar algunos de the independiente German states	Prussia Y Baviera	list some of the independent German states	Prussia & Bavaria	66.67	['y', 'baviera']	1

2354	Why no lo hizo trabajar afuera para ¿a ellos?	de hecho de De Japón invasión de China	Why did it not work out for them?	ecause of Japan's invasion of China	100.0	['china', 'invasión', 'hecho', 'de', 'japón']	2

2355	where did michael hide?	under the asiento	where did michael hide?	under the seat	33.33	['asiento']	0

2356	Como ellos get there?	alguien released a ellos	How did they get there?	somebody released them	66.67	['alguien', 'ellos', 'a']	1

2357	cuando Él puso el mesa ?	Diez pasado ocho	when did he lay the table ?	ten past eight	100.0	['pasado', 'ocho', 'diez']	2

2358	Qué was his bloodline?	Muhammad was his grandfather	What was his bloodline?	Muhammad was his grandfather	0.0	[]	0

2359	how hicieron convertirse involved in los 30?	de Havilland abrió una fábrica	how did they become involved in the 30s?	de Havilland opened a factory	60.0	['abrió', 'una', 'fábrica']	1

2360	Que tharanga ¿hacer?	Continuar guata	What did Tharanga do?	Kept on batting	100.0	['continuar', 'guata']	2

2361	Who was the mayor suspect?	Venjah K. Hunte	Who was the oldest suspect?	Venjah K. Hunte	0.0	[]	0

2362	where did El vive	cerca del Belmont Park racetrack	where did he live	near the Belmont Park racetrack	40.0	['del', 'cerca']	1

2363	Antes de dirigirse a what ¿evento?	La caza de la temporada	Before heading to what event?	The season’s hunt	100.0	['la', 'temporada', 'caza', 'de']	2

2364	How long did it ¿llevar?	upwards of ten days	How long did it take?	upwards of ten days	0.0	[]	0

2365	How did ¿Ella hace frente?	comenzó a work hard	How did she cope?	began to work hard	50.0	['comenzó', 'a']	1

2366	Qué La oportunidad era lost?	amenazando a la señora Conroy	What opportunity was lost?	threatening Mrs. Conroy	100.0	['amenazando', 'señora', 'la', 'a', 'conroy']	2

2367	who is es head of state?	currently Queen Elizabeth II	who is its head of state?	currently Queen Elizabeth II	0.0	[]	0

2368	what hizo El trabajo on next	the Ala este de the Nacional Gallery de Arte	what did he work on next	the East Wing of the National Gallery of Art	66.67	['de', 'ala', 'arte', 'este', 'nacional']	1

2369	Dónde eran ellos entretenido uno ¿noche?	en Calle Chatham	Where were they entertained one night?	on Chatham Street	100.0	['en', 'calle', 'chatham']	2

2370	What was their savings ranked in the 80S?	the el más bajo in the USSR	What was their savings ranked in the 80s?	the lowest in the USSR	20.0	['más', 'el', 'bajo']	0

2371	What did Caesar ordenarlos para try?	To tener conflicto with the germánico tribes.	What did Caesar order them to try?	To have conflict with the Germanic tribes.	42.86	['tener', 'germánico', 'conflicto']	1

2372	Hizo el ven to el ¿fiesta?	Sí lo hizo.	Did he come to the party?	Yes he did.	100.0	['sí', 'lo', 'hizo']	2

2373	What went by his ¿rostro?	A long knife	What went by his face?	A long knife	33.33	['a']	0

2374	What did he preguntar ¿su?	I crees que vives in that house	What did he ask her?	I believe you live in that house	42.86	['vives', 'crees', 'que']	1

2375	Que hizo cuando he arrived?	fue straight a cama	What did he do when he arrived?	went straight to bed	75.0	['cama', 'fue', 'a']	2

2376	qué is the modern placement?	modern Northern Iraq, noreste Syria, southeastern Turkey and the northwestern fringes of Iran	what is the modern placement?	modern northern Iraq, northeastern Syria, southeastern Turkey and the northwestern fringes of Iran	23.08	['iraq', 'noreste', 'northern']	0

2377	Donde they end ¿arriba?	por todas partes the ground of el lawn	Where'd they end up?	all over the ground of the lawn	42.86	['partes', 'por', 'el', 'todas']	1

2378	What color era el anterior años ¿árbol?	rojo y blanco	What color was the previous year's tree?	red and white	100.0	['y', 'rojo', 'blanco']	2

2379	When would he leave then?	on the décimo día from that on which they spoke	When would he leave then?	on the tenth day from that on which they spoke	20.0	['día', 'décimo']	0

2380	Who realizado el poll gauging apoyo for el ¿guerra?	Investigación de CNN/Opinión Corp	Who conducted the poll gauging support for the war?	CNN/Opinion Research Corp	66.67	['de', 'investigación', 'cnnopinión']	1

2381	Qué eran allá nombres?	David, Tom y John	What were there names?	David, Tom and John	75.0	['y', 'tom', 'john']	2

2382	Qué did TV imply tú podrías become in America?	not just rich, but filthily rich.	What did TV imply you could become in America?	not just rich, but filthily rich.	0.0	[]	0

2383	What things was Ella recordó ¿de?	the Inn Patio, el Ostler, y un Cambridge lad	What things was she reminded of?	the Inn Yard, the Ostler, and a Cambridge lad	55.56	['ostler', 'un', 'el', 'y', 'patio']	1

2384	Qué era su reacción a el ¿caer?	Saltó rápidamente	What was his reaction to the fall?	He jumped up quickly	100.0	['saltó', 'rápidamente']	2

2385	How many acres de forest does this former wasteland have ¿ahora?	catorce thousand acres	How many acres of forest does this former wasteland have now?	fourteen thousand acres	33.33	['catorce']	0

2386	What sets it aparte de most otro councils?	a mayoría de elected los miembros son independents	What sets it apart from most other councils?	a majority of elected members are independents	57.14	['mayoría', 'miembros', 'los', 'de', 'son']	1

2387	What's ¿Otro de sus obras literarias?	he Fuentes ocultas de Amar.	What's another one of his literary works?	he Hidden Sources of Love.	80.0	['amar', 'fuentes', 'ocultas', 'de']	2

2388	What do wives do?	Tell their husbands how to vote.	What do wives do?	Tell their husbands how to vote.	0.0	[]	0

2389	Cómo viejo is he?	46 años	How old is he?	46 years old	66.67	['años']	1

2390	Dónde is ¿Esto está sucediendo?	Pretoria, Sudáfrica	Where is this happening?	Pretoria, South Africa	100.0	['sudáfrica', 'pretoria']	2

2391	What were his primero two films?	"ee's first two films, ""She's Gotta Have It"" (1986) and ""School Daze"" (1988) She's Gotta Have él and Aturdir"	What were his first two films?	"ee's first two films, ""She's Gotta Have It"" (1986) and ""School Daze"" (1988) She's Gotta Have it and School Daze"	15.0	['él', 'aturdir']	0

2392	What hizo Barbala insist?	que Kate have an temprano en la noche y tomar un sleeping pill	What did Barbala insist?	that Kate have an early night and take a sleeping pill	63.64	['temprano', 'tomar', 'la', 'kate', 'un', 'que', 'noche', 'y', 'en']	1

2393	Que era ¿él?	Un enfermo Niño en el hospital	Who was he?	A sick child in the hospital	100.0	['niño', 'un', 'el', 'hospital', 'en', 'enfermo']	2

2394	Derived from which tribe?	from the Iroquois	Derived from which tribe?	from the Iroquois	0.0	[]	0

2395	cuando did Godrey perder la vista of Dunstan?	sixteen hace años que	when did Godrey lose sight of Dunstan?	sixteen years ago	66.67	['hace', 'años', 'que']	1

2396	Donde estaba ¿él?	en el patio	Where was it?	in the yard	100.0	['en', 'patio', 'el']	2

2397	Name of school?	Hogwarts School of Witcheraft and Wizardy.	Name of school?	Hogwarts School of Witcheraft and Wizardy.	0.0	[]	0

2398	Which party cargado primero?	The gente yendo a Rome?	Which party loaded up first?	The people going to Rome?	60.0	['yendo', 'gente', 'a']	1

2399	Que era el primero Presiden?	Presidente Muhammad Naguib	Who was the first presiden?	President Muhammad Naguib	100.0	['presidente', 'muhammad', 'naguib']	2

2400	What period vino after that?	the Formative period	What period came after that?	the Formative period	0.0	[]	0

2401	Cuando did he ir to ¿Madison Square Garden?	A year or Dos después de que se fue office	When did he go to Madison Square Garden?	A year or two after he left office	50.0	['después', 'se', 'fue', 'de', 'que', 'dos']	1

2402	Cuanto tiempo tuvo ¿él?	acerca de two hace años que,	How long had he?	about two years ago,	75.0	['acerca', 'hace', 'años', 'de', 'que']	2

2403	What book hizo she read	Super Sophie Saves the Day	What book did she read	Super Sophie Saves the Day	0.0	[]	0

2404	What pasó Tom?	fell down el pozo	What happened to Tom?	fell down the well	50.0	['pozo', 'el']	1

